claim,stat,value,p,n
R1_alignment_rises,"spearman(step,rsa)",-0.8833333333333333,0.0015905004234978686,9
R2_alignment_vs_mechanistic,"spearman(rsa,norm)",0.8833333333333333,0.0015905004234978686,9
R2_partial_control_step,"partial(rsa,norm|step)",-0.03651483716701107,0.9256951876591197,9
R2_alignment_vs_mechanistic,"spearman(rsa,gini)",0.7,0.03576957497026169,9
R2_partial_control_step,"partial(rsa,gini|step)",-0.03333333333333333,0.932156735540504,9
R2_alignment_vs_mechanistic,"spearman(rsa,hoyer)",-0.8166666666666667,0.007224785246358786,9
R2_partial_control_step,"partial(rsa,hoyer|step)",0.15,0.7000942309691419,9
R2_alignment_vs_mechanistic,"spearman(rsa,per)",-0.18333333333333335,0.6368198117628943,9
R2_partial_control_step,"partial(rsa,per|step)",-0.06666666666666667,0.8646897846262037,9
R2_alignment_vs_mechanistic,"spearman(rsa,condition_number)",0.7333333333333334,0.02455415007146968,9
R2_partial_control_step,"partial(rsa,condition_number|step)",0.5,0.17047066078705375,9
R2_alignment_vs_mechanistic,"spearman(rsa,cka_to_prev)",-0.8333333333333335,0.01017554012345675,8
R2_partial_control_step,"partial(rsa,cka_to_prev|step)",-0.060616080621109,0.8866229447346792,8
R5_isolation_vs_mechanistic,"spearman(iso,norm)",0.25,0.5164895523012263,9
R5_isolation_vs_mechanistic,"spearman(iso,gini)",-0.33333333333333337,0.38071318167686347,9
R5_isolation_vs_mechanistic,"spearman(iso,hoyer)",-0.2833333333333333,0.46003032896571994,9
R5_isolation_vs_mechanistic,"spearman(iso,per)",-0.6833333333333333,0.04244227208707231,9
R5_isolation_vs_mechanistic,"spearman(iso,condition_number)",0.48333333333333334,0.18746985521554207,9
R5_isolation_vs_mechanistic,"spearman(iso,cka_to_prev)",0.0,1.0,8
R2b_behaviour_vs_mechanistic,"spearman(acc,norm)",-0.8619322310183948,0.002805928967837699,9
R2b_behaviour_vs_mechanistic,"spearman(acc,gini)",-0.619252282479235,0.07534651435930123,9
R2b_behaviour_vs_mechanistic,"spearman(acc,hoyer)",0.836827408755723,0.004907014834108845,9
R2b_behaviour_vs_mechanistic,"spearman(acc,per)",0.2008385781013735,0.6043593545214949,9
R2b_behaviour_vs_mechanistic,"spearman(acc,condition_number)",-0.803354312405494,0.009106405386878009,9
R2b_behaviour_vs_mechanistic,"spearman(acc,cka_to_prev)",,,9
R2b_behaviour_vs_alignment,"spearman(acc,rsa)",-0.903773601456181,0.0008274112226859528,9
